<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20170110,000100,1.0582,1.0583,1.0582,1.0582
EURUSD,20170110,000200,1.0583,1.0583,1.0582,1.0582
EURUSD,20170110,000300,1.0582,1.0583,1.0582,1.0582
EURUSD,20170110,000400,1.0583,1.0583,1.0582,1.0582
EURUSD,20170110,000500,1.0582,1.0583,1.0582,1.0583
EURUSD,20170110,000600,1.0583,1.0585,1.0583,1.0585
EURUSD,20170110,000700,1.0584,1.0585,1.0584,1.0585
EURUSD,20170110,000800,1.0585,1.0585,1.0585,1.0585
EURUSD,20170110,000900,1.0585,1.0585,1.0585,1.0585
EURUSD,20170110,001000,1.0585,1.0586,1.0585,1.0586
EURUSD,20170110,001100,1.0586,1.0586,1.0586,1.0586
EURUSD,20170110,001200,1.0586,1.0586,1.0586,1.0586
EURUSD,20170110,001300,1.0586,1.0586,1.0585,1.0585
EURUSD,20170110,001400,1.0585,1.0585,1.0585,1.0585
EURUSD,20170110,001500,1.0585,1.0585,1.0585,1.0585
EURUSD,20170110,001600,1.0584,1.0584,1.0584,1.0584
EURUSD,20170110,001700,1.0585,1.0585,1.0584,1.0584
EURUSD,20170110,001800,1.0584,1.0584,1.0584,1.0584
EURUSD,20170110,001900,1.0584,1.0585,1.0584,1.0585
EURUSD,20170110,002000,1.0584,1.0584,1.0583,1.0584
EURUSD,20170110,002100,1.0584,1.0584,1.0584,1.0584
EURUSD,20170110,002200,1.0584,1.0584,1.0583,1.0584
EURUSD,20170110,002300,1.0584,1.0584,1.0583,1.0584
EURUSD,20170110,002400,1.0583,1.0583,1.0581,1.0582
EURUSD,20170110,002500,1.0581,1.0587,1.0581,1.0587
EURUSD,20170110,002600,1.0586,1.0587,1.0586,1.0587
EURUSD,20170110,002700,1.0586,1.0586,1.0586,1.0586
EURUSD,20170110,002800,1.0586,1.0586,1.0586,1.0586
EURUSD,20170110,002900,1.0586,1.0586,1.0586,1.0586
EURUSD,20170110,003000,1.0586,1.0586,1.0585,1.0585
EURUSD,20170110,003100,1.0585,1.0585,1.0585,1.0585
EURUSD,20170110,003200,1.0585,1.0585,1.0584,1.0584
EURUSD,20170110,003300,1.0583,1.0583,1.0582,1.0582
EURUSD,20170110,003400,1.0582,1.0582,1.0582,1.0582
EURUSD,20170110,003500,1.0582,1.0583,1.0581,1.0583
EURUSD,20170110,003600,1.0583,1.0583,1.0583,1.0583
EURUSD,20170110,003700,1.0583,1.0583,1.0583,1.0583
EURUSD,20170110,003800,1.0583,1.0583,1.0581,1.0581
EURUSD,20170110,003900,1.0581,1.0581,1.0581,1.0581
EURUSD,20170110,004000,1.0581,1.0582,1.0581,1.0582
EURUSD,20170110,004100,1.0582,1.0582,1.0581,1.0582
EURUSD,20170110,004200,1.0582,1.0584,1.0581,1.0584
EURUSD,20170110,004300,1.0585,1.0585,1.0584,1.0584
EURUSD,20170110,004400,1.0584,1.0585,1.0584,1.0585
EURUSD,20170110,004500,1.0584,1.0585,1.0584,1.0585
