<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20170104,000100,1.0407,1.0409,1.0407,1.0408
EURUSD,20170104,000200,1.0409,1.0410,1.0409,1.0410
EURUSD,20170104,000300,1.0409,1.0410,1.0409,1.0409
EURUSD,20170104,000400,1.0409,1.0410,1.0409,1.0410
EURUSD,20170104,000500,1.0410,1.0410,1.0410,1.0410
EURUSD,20170104,000600,1.0410,1.0410,1.0410,1.0410
EURUSD,20170104,000700,1.0410,1.0410,1.0410,1.0410
EURUSD,20170104,000800,1.0410,1.0410,1.0410,1.0410
EURUSD,20170104,000900,1.0411,1.0414,1.0411,1.0414
EURUSD,20170104,001000,1.0413,1.0415,1.0413,1.0415
EURUSD,20170104,001100,1.0416,1.0417,1.0416,1.0416
EURUSD,20170104,001200,1.0417,1.0417,1.0415,1.0416
EURUSD,20170104,001300,1.0415,1.0416,1.0414,1.0414
EURUSD,20170104,001400,1.0415,1.0415,1.0414,1.0414
EURUSD,20170104,001500,1.0415,1.0415,1.0414,1.0414
EURUSD,20170104,001600,1.0415,1.0415,1.0414,1.0415
EURUSD,20170104,001700,1.0414,1.0415,1.0414,1.0415
EURUSD,20170104,001800,1.0415,1.0416,1.0415,1.0416
EURUSD,20170104,001900,1.0415,1.0416,1.0414,1.0415
EURUSD,20170104,002000,1.0416,1.0417,1.0415,1.0415
EURUSD,20170104,002100,1.0415,1.0417,1.0415,1.0415
EURUSD,20170104,002200,1.0414,1.0416,1.0414,1.0415
EURUSD,20170104,002300,1.0414,1.0414,1.0413,1.0414
EURUSD,20170104,002400,1.0414,1.0414,1.0414,1.0414
EURUSD,20170104,002500,1.0414,1.0414,1.0414,1.0414
EURUSD,20170104,002600,1.0414,1.0414,1.0414,1.0414
EURUSD,20170104,002700,1.0414,1.0414,1.0413,1.0414
EURUSD,20170104,002800,1.0414,1.0415,1.0414,1.0414
EURUSD,20170104,002900,1.0415,1.0416,1.0415,1.0416
EURUSD,20170104,003000,1.0416,1.0416,1.0416,1.0416
EURUSD,20170104,003100,1.0416,1.0417,1.0416,1.0416
EURUSD,20170104,003200,1.0416,1.0417,1.0416,1.0417
EURUSD,20170104,003300,1.0418,1.0418,1.0417,1.0417
EURUSD,20170104,003400,1.0418,1.0419,1.0417,1.0418
EURUSD,20170104,003500,1.0418,1.0418,1.0417,1.0417
EURUSD,20170104,003600,1.0416,1.0416,1.0415,1.0415
EURUSD,20170104,003700,1.0415,1.0415,1.0413,1.0413
EURUSD,20170104,003800,1.0414,1.0414,1.0413,1.0414
EURUSD,20170104,003900,1.0415,1.0416,1.0414,1.0416
EURUSD,20170104,004000,1.0417,1.0418,1.0417,1.0417
EURUSD,20170104,004100,1.0417,1.0418,1.0417,1.0417
EURUSD,20170104,004200,1.0417,1.0417,1.0416,1.0416
EURUSD,20170104,004300,1.0416,1.0416,1.0416,1.0416
EURUSD,20170104,004400,1.0416,1.0416,1.0416,1.0416
EURUSD,20170104,004500,1.0417,1.0419,1.0417,1.0418
EURUSD,20170104,004600,1.0418,1.0419,1.0417,1.0418
EURUSD,20170104,004700,1.0418,1.0419,1.0418,1.0419
EURUSD,20170104,004800,1.0419,1.0419,1.0419,1.0419
EURUSD,20170104,004900,1.0420,1.0422,1.0420,1.0420
EURUSD,20170104,005000,1.0419,1.0420,1.0419,1.0420
EURUSD,20170104,005100,1.0420,1.0420,1.0419,1.0420
EURUSD,20170104,005200,1.0419,1.0420,1.0419,1.0420
EURUSD,20170104,005300,1.0420,1.0421,1.0420,1.0420
EURUSD,20170104,005400,1.0421,1.0421,1.0420,1.0421
EURUSD,20170104,005500,1.0422,1.0422,1.0421,1.0421
EURUSD,20170104,005600,1.0422,1.0422,1.0419,1.0419
EURUSD,20170104,005700,1.0418,1.0419,1.0417,1.0417
EURUSD,20170104,005800,1.0417,1.0417,1.0416,1.0416
EURUSD,20170104,005900,1.0416,1.0416,1.0416,1.0416
EURUSD,20170104,010000,1.0416,1.0416,1.0415,1.0416
EURUSD,20170104,010100,1.0416,1.0416,1.0415,1.0415
EURUSD,20170104,010200,1.0416,1.0416,1.0411,1.0412
EURUSD,20170104,010300,1.0411,1.0412,1.0409,1.0409
EURUSD,20170104,010400,1.0408,1.0409,1.0408,1.0408
EURUSD,20170104,010500,1.0408,1.0408,1.0405,1.0406
EURUSD,20170104,010600,1.0407,1.0407,1.0405,1.0405
EURUSD,20170104,010700,1.0405,1.0406,1.0405,1.0405
EURUSD,20170104,010800,1.0405,1.0407,1.0405,1.0407
EURUSD,20170104,010900,1.0407,1.0407,1.0403,1.0405
EURUSD,20170104,011000,1.0406,1.0406,1.0404,1.0405
EURUSD,20170104,011100,1.0404,1.0404,1.0403,1.0404
EURUSD,20170104,011200,1.0405,1.0405,1.0404,1.0404
EURUSD,20170104,011300,1.0404,1.0405,1.0404,1.0404
EURUSD,20170104,011400,1.0405,1.0405,1.0404,1.0405
EURUSD,20170104,011500,1.0406,1.0406,1.0405,1.0406
EURUSD,20170104,011600,1.0407,1.0408,1.0406,1.0406
EURUSD,20170104,011700,1.0407,1.0407,1.0405,1.0406
EURUSD,20170104,011800,1.0406,1.0406,1.0406,1.0406
EURUSD,20170104,011900,1.0407,1.0407,1.0406,1.0407
EURUSD,20170104,012000,1.0406,1.0406,1.0403,1.0403
EURUSD,20170104,012100,1.0402,1.0402,1.0399,1.0399
EURUSD,20170104,012200,1.0400,1.0400,1.0399,1.0400
EURUSD,20170104,012300,1.0399,1.0401,1.0399,1.0401
EURUSD,20170104,012400,1.0402,1.0403,1.0402,1.0403
EURUSD,20170104,012500,1.0403,1.0403,1.0402,1.0402
EURUSD,20170104,012600,1.0402,1.0402,1.0400,1.0400
EURUSD,20170104,012700,1.0401,1.0402,1.0400,1.0402
EURUSD,20170104,012800,1.0401,1.0402,1.0400,1.0401
EURUSD,20170104,012900,1.0401,1.0402,1.0401,1.0402
EURUSD,20170104,013000,1.0402,1.0402,1.0402,1.0402
EURUSD,20170104,013100,1.0402,1.0402,1.0401,1.0401
EURUSD,20170104,013300,1.0402,1.0404,1.0402,1.0404
EURUSD,20170104,013500,1.0406,1.0408,1.0406,1.0407
EURUSD,20170104,013600,1.0408,1.0408,1.0408,1.0408
EURUSD,20170104,013800,1.0405,1.0406,1.0404,1.0406
EURUSD,20170104,013900,1.0405,1.0406,1.0405,1.0405
EURUSD,20170104,014000,1.0405,1.0405,1.0405,1.0405
EURUSD,20170104,014100,1.0405,1.0406,1.0405,1.0406
EURUSD,20170104,014200,1.0406,1.0409,1.0406,1.0409
EURUSD,20170104,014300,1.0410,1.0410,1.0407,1.0407
EURUSD,20170104,014400,1.0408,1.0408,1.0407,1.0408
EURUSD,20170104,014500,1.0408,1.0408,1.0408,1.0408
EURUSD,20170104,014600,1.0408,1.0408,1.0406,1.0406
EURUSD,20170104,014700,1.0406,1.0408,1.0406,1.0408
EURUSD,20170104,014800,1.0408,1.0408,1.0408,1.0408
EURUSD,20170104,014900,1.0408,1.0408,1.0405,1.0405
EURUSD,20170104,015000,1.0405,1.0406,1.0405,1.0406
EURUSD,20170104,015100,1.0406,1.0406,1.0399,1.0400
EURUSD,20170104,015200,1.0399,1.0400,1.0398,1.0398
EURUSD,20170104,015300,1.0397,1.0398,1.0391,1.0391
EURUSD,20170104,015400,1.0392,1.0393,1.0391,1.0392
EURUSD,20170104,015500,1.0391,1.0395,1.0391,1.0394
EURUSD,20170104,015600,1.0393,1.0394,1.0391,1.0394
EURUSD,20170104,015700,1.0395,1.0395,1.0393,1.0393
EURUSD,20170104,015800,1.0394,1.0394,1.0390,1.0391
EURUSD,20170104,015900,1.0391,1.0392,1.0391,1.0392
EURUSD,20170104,020000,1.0393,1.0393,1.0392,1.0392
EURUSD,20170104,020100,1.0391,1.0394,1.0391,1.0394
EURUSD,20170104,020200,1.0393,1.0394,1.0389,1.0390
EURUSD,20170104,020300,1.0389,1.0390,1.0388,1.0388
EURUSD,20170104,020400,1.0388,1.0389,1.0388,1.0389
EURUSD,20170104,020500,1.0390,1.0390,1.0389,1.0390
EURUSD,20170104,020600,1.0389,1.0390,1.0389,1.0390
EURUSD,20170104,020700,1.0390,1.0390,1.0388,1.0390
EURUSD,20170104,020800,1.0389,1.0391,1.0389,1.0391
EURUSD,20170104,020900,1.0392,1.0393,1.0392,1.0392
EURUSD,20170104,021000,1.0393,1.0394,1.0393,1.0394
EURUSD,20170104,021100,1.0393,1.0393,1.0393,1.0393
EURUSD,20170104,021200,1.0393,1.0393,1.0391,1.0392
EURUSD,20170104,021300,1.0393,1.0395,1.0393,1.0394
EURUSD,20170104,021400,1.0395,1.0395,1.0394,1.0395
EURUSD,20170104,021500,1.0395,1.0396,1.0395,1.0396
EURUSD,20170104,021600,1.0395,1.0395,1.0393,1.0395
EURUSD,20170104,021700,1.0394,1.0395,1.0394,1.0395
EURUSD,20170104,021800,1.0395,1.0395,1.0394,1.0394
EURUSD,20170104,021900,1.0395,1.0397,1.0395,1.0397
EURUSD,20170104,022000,1.0397,1.0399,1.0397,1.0399
EURUSD,20170104,022100,1.0398,1.0400,1.0398,1.0400
EURUSD,20170104,022200,1.0399,1.0400,1.0397,1.0399
EURUSD,20170104,022300,1.0399,1.0399,1.0396,1.0396
EURUSD,20170104,022400,1.0397,1.0397,1.0396,1.0397
EURUSD,20170104,022500,1.0398,1.0399,1.0397,1.0398
EURUSD,20170104,022600,1.0397,1.0398,1.0397,1.0398
