<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20170105,000100,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,000200,1.0486,1.0488,1.0485,1.0487
EURUSD,20170105,000300,1.0486,1.0486,1.0485,1.0485
EURUSD,20170105,000400,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,000500,1.0486,1.0488,1.0486,1.0487
EURUSD,20170105,000600,1.0487,1.0487,1.0486,1.0486
EURUSD,20170105,000700,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,000800,1.0486,1.0487,1.0486,1.0486
EURUSD,20170105,000900,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,001000,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,001100,1.0487,1.0487,1.0486,1.0486
EURUSD,20170105,001200,1.0486,1.0486,1.0484,1.0484
EURUSD,20170105,001300,1.0485,1.0486,1.0485,1.0486
EURUSD,20170105,001400,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,001500,1.0486,1.0487,1.0486,1.0486
EURUSD,20170105,001600,1.0486,1.0486,1.0485,1.0486
EURUSD,20170105,001700,1.0485,1.0486,1.0485,1.0485
EURUSD,20170105,001800,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,001900,1.0485,1.0486,1.0485,1.0486
EURUSD,20170105,002000,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,002100,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,002200,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,002300,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,002400,1.0486,1.0487,1.0486,1.0486
EURUSD,20170105,002500,1.0487,1.0487,1.0486,1.0486
EURUSD,20170105,002600,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,002700,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,002800,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,002900,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,003000,1.0486,1.0486,1.0486,1.0486
EURUSD,20170105,003100,1.0486,1.0486,1.0485,1.0485
EURUSD,20170105,003200,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,003300,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,003400,1.0485,1.0486,1.0485,1.0485
EURUSD,20170105,003500,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,003600,1.0485,1.0485,1.0485,1.0485
EURUSD,20170105,003700,1.0485,1.0485,1.0484,1.0484
EURUSD,20170105,003800,1.0484,1.0484,1.0482,1.0482
